user_name,tweets
amjad ali,"نواز شریف کو پاکستان واپس کون لا سکتا؟ نواز شریف کو فوج کی کن باتوں...
youtube.com"
Geo Jatta,بیغرت دلے چند ڈالرز کیلیے تم اور تم جیسے چند کنجری کے بچے لفافے اپنے ھندو آقا پر کبھی نہیں بھونکیں گے صرف پاکستانی فوج پر بھونکو گے۔ لعنت ھے تم پر کنجری کی اولاد!
ایشال,سب سے پہلے اس سور کے بچے کو  پکڑے، یہ فوج کا احسان اللہ احسان ہے!!!
شہزاد,غربت سیاستدانوں اعلیٰ فوجی قیادت کی بنائی ہوئی خوئی ساختہ ہے، غریب رہے گی قوم تو جاہل مجبور اور غلام رہے گی اور فوج کو بھی بھرتیاں ملتی رہیں گی ؟ اور فائدہ جو حکمران اٹھانا چاہتے اور اٹھا رہے کہ لوگ بیغیرت ہوجائیں اور ان کو عزتوں سے کھیلنے کا موقع ملتا رہے
BakkiShinka,تم غداروں نے ہمیشہ فوج اور اداروں کو نشانہ بنایا ہے  جسے بعد میں ریکور کرنے کیلیے سلپ آف ٹرن کا نام دے دیتے ہو آج بھی تم لوگ بھارت کے بیانیے پر کام کررہے ہو تم جیسوں کو تو سرےعام چوک میں لٹکا دینا چاہیے
وسیم عباس اعوان,"Quote Tweet
Ahmad Waqass Goraya
@AWGoraya
 · 1h
سب کچھ سامنے ہے کہ کیسے یک دم سے اپقزیشن دہشتگردی کی دھمکی لگا کر دہشتگردی شروع کروا دی گئی ہے ۔ 
دہشتگردی روکنی ہے تو آئی ایس آئی کو ختم کرنا ہو گا"
دیسی مرغ,اے پی ایس میں فوجیوں کے بچے مرے تھے ، بلوچستان ، خیبر ایجنسی ، مالا کنڈ میں روز فوجی مرتے ہیں ، تم جتنا مرضی زور لگا لو فوج اور عوام کو آمنے سامنے نہ کر سکو گے 
Azhar Ul Haq Naseem,"اگر فوج پر سوال یا تنقید سے دھماکے ہوتے
تو تم اور تمہارے حواری دن رات فوج پر بھونکتے ہو
پھر تو ایک گھنٹے میں تین دھماکے ہونے چاہیں ہر جگہ"
Crazy pathan,یہ قابض علاقہ ہے۔ نوگو ایریاز جس کو صرف پنجابی فوج اسکتی ہے۔ اور کوئی نہں
MKMK,نہ صرف کھیل رہی ھے بلکہ دیدہ دانستہ ملک دشمن کے ساتھ مل کر اپنی فوج اور ملک کی جڑیں کھوکھلی کر رہی ھے ۔ پہلے باپ کو اور اب بیٹی پر اجیت ڈوول کی investment ھے
Tariq.Bajwa,ایجنسیاں 100 دھماکے روکیں اور بدقسمتی سے ایک دھماکہ ہو جائے تو فوج اور ایجنسیوں پر تنقید صرف اور صرف ملک دشمنوں کو خوش کرنا ہے
Rabia Gilani,اگر آپ کی گھٹیا بات میں ذرہ بھی دم ہے تو ہم عوام اور فوجی جوان ہی کیوں شہید ہوتے ہیں آپ جیسے گھٹیا لوگ کیوں نہیں مرتے۔لعنت ہیں آپ لوگوں پر۔پہلے بھی ہمیں فوج نے بچایا آج بھی وہی ہمارے حصے کے زخم کھا رہیے ہیں۔
hafiz aleem,"آپ لوگوں کی اقتدار کی حوص ختم نھی ھورھی سارے ادارے تو تباہ کرکے اپنی حوص کی نظر کردیے اب فوج کے پیچھے حوص اقتدار کی وجہ سے پڑ گٸے ھو خدا کا واسطہ ھے ملک فوج کی وجہ سے بچا ھوا ھے لہزا فوج کو تباہ کرکے عوام کے پاوں کے نیچے سے وطن کی مٹی نہ چھین لینا۔
@SHABAZGIL
 
@Asad_Umar"
Geo Jatta,پاکستانی فوج کے جوانو سرحدوں پر اپنی جانوں کے نذرانے دینے سے پہلے حامد میر صادق جیسے سانپوں کے سر کچل دو تاکہ پاکستان تو سکھ کا سانس لے سکے۔ آپ کو اللہ کا واسطہ اس سانپ کو روک لو!
ہماء,"Quote Tweet
Maryam Nawaz Sharif
@MaryamNSharif
 · 5h
پشاور مدرسہ دھماکہ دل دہلا دینے والا واقع ہے۔بالخصوص بچوں کو ہونے والے نقصان نے انتہائی رنجیدہ کردیا ہے۔ جن ماؤں کی گودیں اجڑ گئیں،انکے دکھ کا تصور اور ازالہ ممکن نہیں!
 اللہ تعالیٰ سے دعا ہے کہ لواحقین کو صبر عطا فرمائے اور اس سانحے میں زخمی ہونے والوں کوصحت یابی عطا فرمائے۔آمین"
amjad ali dar,"نواز شریف کو پاکستان واپس کون لا سکتا؟ نواز شریف کو فوج کی کن باتوں...
youtube.com"
Qasim Khan,یہ تو کھلے الفاظوں میں پاک فوج کو بھونک رہا ہے۔
SHAFQAT ULLAH,پھر عوام اور فوج کی درمیان دارڑ کی کوشش ۔۔ لعنت
Crazy pathan,پاک فوج زندہ باد ائ ایس ائ زندہ باد دشمن کی لہوں اس طرح بہتی رہی گی۔
lahoribadshah,چوہدری صاحب اب اس جنگ کو ختم ہوجانا چاہیے۔پاکستانی قوم نے اس ناحق جنگ میں بہت قربانیاں دی ہیں۔ہماری بہادر فوج کو چاہیے کہ ااس بزدل دشمن کا مکمل صفایا کریں عبرت کا نشان بنادیں۔اب بہت ہوگی ہے۔
Usmani,سیاست دانون اور صحافیون کو بھی چاھیے کے دُشمن کے ھاتھ مین کھیلنے کی بجاے اپنی  فوج اور ایجینسیوں کے شانا بشانا کھڑے ھون۔ یقینن نا تو سب صحافی اور نا ھی سب سیاست دان ایسے ھین۔
aziz Khan Yousafzai,"Quote Tweet
Syed Adnan Kakakhail
@Mufti_Kakakhail
 · 1h
پشاور دھماکہ میں مدرسہ کے معصوم طلبہ کی شہادتیں APS سکول پر حملہ جیسا ہی سانحہ ہے۔اب یہ ریاست اور اداروں کا امتحان ہے کہ اس حادثہ کو بھی اتنی ہی اہمیت دیتے ہیں یا نہیں۔سنا ہے ریاست ماں کی طرح ہوتی ہے جو بچوں میں تفریق نہیں کرتی۔رب کریم غمزدہ والدین اور اقارب کو صبر عطا فرماۓ۔"
Mobilinks,کاش غلط ہوتا میں جتنے احمدیوں کو جانتا ہوں اور جتنے سوشل میڈیا پر دیکھے ہیں آپ کو چھوڑ کر سبھی عمران خان اور فوج کے حمایتی ہیں پھر چاہے پاکستان میں رہنے والے ہوں یا مغرب میں ان میں مربیان سے لے کر مناظرے کرنے والوں سے لے کر عام احمدی شامل ہیں ۔
kashif ahmed,"Quote Tweet
Kamran Khan
@AajKamranKhan
 · 2h
پشاور میں مذہبی مدرسے پر دہش گرد حملہ ہمیں بھارتی انٹیلیجنس بذریعہ اجیت ڈوول مسلسل  دھمکیاں یاد دلاتا ہے دشمن ہم ہر حملہ آور ہے! سیاسی قیادت اپنے دل پر ہاتھ رکھ کر بتائے  کہ وہ عوامی اجتماعات میں فوج اور اس کے کمانڈرز کو ہتک کا نشانہ بنا کر کیا دشمن ہاتھوں میں نہیں کھیل رہی ؟"
Geo Jatta,یہ سانپ جب تک زندہ ھے اس نے پاکستان اور پاکستانی فوج کو کاٹنے سے باز نہیں آنا۔ اس کے باپ نے اسکی ماں کو ہمیشہ طاقتور لوگوں کو پیش کرکے اپنے کام نکالے۔ لیکن کیا حامد میر اسی کا بیٹا ھے یا کسی کا نذرانہ 
M.Fahim Malik (finn),یہ جو تو رات میں اپنی گاف الٹی کرکے سوتا ہے یہ اُسی فوج کا کرم ہے کھوتی جیا
Tehseen Ahmed,شیخ رشید کو تیرے اصل باپ کا بھی پتا ہو گا سالے حرامی پاک فوج کو گالی دیتا ہے سور کی اولاد۔
Dr.Showkat.Ul.Islam,"جب فوج ملک کے بجائے ایک پارٹی کی حفاظت کرنے پر ترجیح  دینا شروع کرے 
ملک کی مایہ ناز ایجنسیاں اپنا سارا زور  چند سیاسی پارٹیوں کو دبانے میں لگے تو ۔ملک کی سیکورٹی ایسے ہی داؤ پر لگ جاتی ہے !"
