user_name,tweets
Muhammad Sharif Rai,"طوائف کی اولاد تیرے اس بہنوئی کا نام شاہ محمود قریشی ہے؟
لعنت تیرے حرام رزق،تیری پیدائش اور تیری اوقات پہ
ایاز صادق تو شاہ محمود کا نام لے رہے تھے 
تمہاری زرد صحافت پہ لعنت بھیجتے ہوئے ریکارڈ کی درستگی کے لیے
نیچے تصویر پاک فوج کی ہے اور ملک کا سربراہ بھی ایک آئینی غدار یحیی تھا"
حرا عروج,"""اسامہ بن لادن کی موت پاک فوج کیلئے دھچکا تھی، فوجی اکیڈمی سے اتنا قریب 45 منٹ تک اُڑتے رہے، دھماکے فائرنگ ہوئ، لیکن فوج کہاں تھی؟؟

""سوات آپریشن صرف پیسے بٹورنے کیلئے کیا گیا"" عمران خان کی کتاب سے

میں نے کتاب نہی پڑھی: وفاقی وزیر غلام سرور"
Pindi B,"@OfficialDGISPR
 
ایک چھوٹا سا کتا ھے اس کی ٹھوکی کرنے کسی پولیس والے کو بیج کے دے۔۔۔حرامی سرےعام پاک فوج بارے بکواس کر رہا ھے"
Aap Ki Raay,"Quote Tweet
Javeria Siddique
@javerias
 · Oct 31
یہ ٹانگیں کٹ تو سکتی ہیں کانپتی نہیں "
Geo Jatta,لعنت مودی کے یاروں پر۔ پاکستانی فوج زندہ باد
nishi,جن کا بیانیہ بھارت کو خوش کرے بھارت شادیانے بجائے جو اپنی چوری کو بچانے کے لئے پاکستان اور پاک فوج کے خلاف بھونکیں جن کی زبان دہشت گرد کلبھوشن کا نام اس لئے نہیں لیتی کہ ان کا یار مودی ناراض ہو جائے گا جس کے گھر بغیر ویزے کے را ایجنٹ ائیں وہ دفعہ ہو جائیں انڈیا اور تم بھی
𝐘𝐚𝐬𝐦𝐞𝐞𝐧 𝐁𝐚𝐣𝐰𝐚369.,Imran Khan and 9 others
Sohail,"@ashirazeemgill
 
رواج پڑ گیا ہے جو
پاک فوج کے خلاف جتنا زیادہ بھونکے گا،اسکی اتنی ہی زیادہ قیمت لگے گی"
لاہوری بھوت,"حمزے جیسے شیر جوان تے مشتمل فوج بنان لگی ہے شریفہ دی کتی 
حمزے جیسے شیرجوان دی پین اک دفعہ ڈاکو چک کے لے گے حمزے بڑے غصے دے نال ڈاکووں دےکول جا کر کہندا کےاوے میری پین دا ڈوپٹہ واپس کر اوئے ڈاکو وی فیصل آبادی سی اونے حمزےنوں ڈوپٹہ واپس کر کے بولا ڈوپٹہ تو لے جا پین اسی رکھ لیں ہے"
Kashif Kashif,ایاز صادق  کو سزا ہونی چاہیے ۔ سیاسی لڑائی اپنی جگہ لیکن پاکستان ، پاک فوج ، پاکستانیوں کو رسواہ کرنے کی کوشش کی ہے ۔
ᴀ ʟ ɪ,یہ اس بغیرت ایاز صادق کو بھی دیکھائے جو بکواس کرتا ہے فوج کے بارے میں ۔۔بھارت ماتا کی ایسے بھی ٹانگے کانپتی ہیں ۔
S Zakheli (Adv),میاں صاحب طالبان کون ہے سارے پاکستانی فوج کی اشاروں پر چل رہی ہے طالبان پاکستانی فوج ہے پی ڈی ایم میں صحیح چارٹر آف جمہوریت بنا دو اور فوج کے پَر مزید کاٹ کرو تو پاکستان ترقی کریگا اگر یہ ایکشن نہیں کیا تو عوام مزید غلام ھوں گے اللہ نے موقعہ دیا کہ صحیح پاکستان بنے والا ہے
